x,u,t
0.000000e+00,0.000000e+00,0.000000e+00
5.783888e-06,-3.742620e-04,5.000000e-02
4.558168e-05,-1.478516e-03,1.000000e-01
1.513120e-04,-3.285000e-03,1.500000e-01
3.527805e-04,-5.766121e-03,2.000000e-01
6.778234e-04,-8.894543e-03,2.500000e-01
1.152307e-03,-1.264318e-02,3.000000e-01
1.800218e-03,-1.698524e-02,3.500000e-01
2.643493e-03,-2.189408e-02,4.000000e-01
3.702248e-03,-2.734337e-02,4.500000e-01
4.994989e-03,-3.330716e-02,5.000000e-01
6.538613e-03,-3.975989e-02,5.500000e-01
8.348410e-03,-4.667638e-02,6.000000e-01
1.043831e-02,-5.403190e-02,6.500000e-01
1.282055e-02,-6.180202e-02,7.000000e-01
1.550540e-02,-6.996254e-02,7.500000e-01
1.850197e-02,-7.848976e-02,8.000000e-01
2.181825e-02,-8.736047e-02,8.500000e-01
2.546109e-02,-9.655196e-02,9.000000e-01
2.943619e-02,-1.060420e-01,9.500000e-01
3.374813e-02,-1.158089e-01,1.000000e+00
3.840035e-02,-1.258315e-01,1.050000e+00
4.339538e-02,-1.360889e-01,1.100000e+00
4.873528e-02,-1.465610e-01,1.150000e+00
5.441958e-02,-1.572277e-01,1.200000e+00
6.044692e-02,-1.680695e-01,1.250000e+00
6.681536e-02,-1.790675e-01,1.300000e+00
7.352237e-02,-1.902032e-01,1.350000e+00
8.056484e-02,-2.014588e-01,1.400000e+00
8.793909e-02,-2.128168e-01,1.450000e+00
9.564085e-02,-2.242605e-01,1.500000e+00
1.036653e-01,-2.357734e-01,1.550000e+00
1.120069e-01,-2.473398e-01,1.600000e+00
1.206597e-01,-2.589444e-01,1.650000e+00
1.296171e-01,-2.705724e-01,1.700000e+00
1.388722e-01,-2.822096e-01,1.750000e+00
1.484184e-01,-2.938412e-01,1.800000e+00
1.582468e-01,-3.054541e-01,1.850000e+00
1.683476e-01,-3.170354e-01,1.900000e+00
1.787111e-01,-3.285730e-01,1.950000e+00
1.893277e-01,-3.400548e-01,2.000000e+00
2.001874e-01,-3.514695e-01,2.050000e+00
2.112803e-01,-3.628059e-01,2.100000e+00
2.225962e-01,-3.740534e-01,2.150000e+00
2.341251e-01,-3.852018e-01,2.200000e+00
2.458568e-01,-3.962413e-01,2.250000e+00
2.577808e-01,-4.071625e-01,2.300000e+00
2.698868e-01,-4.179564e-01,2.350000e+00
2.821643e-01,-4.286145e-01,2.400000e+00
2.946027e-01,-4.391287e-01,2.450000e+00
3.071912e-01,-4.494912e-01,2.500000e+00
3.199192e-01,-4.596947e-01,2.550000e+00
3.327758e-01,-4.697323e-01,2.600000e+00
3.457500e-01,-4.795950e-01,2.650000e+00
3.588303e-01,-4.892763e-01,2.700000e+00
3.720049e-01,-4.987714e-01,2.750000e+00
3.852623e-01,-5.080759e-01,2.800000e+00
3.985910e-01,-5.171855e-01,2.850000e+00
4.119799e-01,-5.260962e-01,2.900000e+00
4.254179e-01,-5.348042e-01,2.950000e+00
4.388941e-01,-5.433056e-01,3.000000e+00
4.523978e-01,-5.515969e-01,3.050000e+00
4.659186e-01,-5.596749e-01,3.100000e+00
4.794460e-01,-5.675364e-01,3.150000e+00
4.929700e-01,-5.751784e-01,3.200000e+00
5.064805e-01,-5.825981e-01,3.250000e+00
5.199676e-01,-5.897929e-01,3.300000e+00
5.334219e-01,-5.967604e-01,3.350000e+00
5.468337e-01,-6.034984e-01,3.400000e+00
5.601937e-01,-6.100048e-01,3.450000e+00
5.734930e-01,-6.162777e-01,3.500000e+00
5.867224e-01,-6.223155e-01,3.550000e+00
5.998733e-01,-6.281167e-01,3.600000e+00
6.129370e-01,-6.336800e-01,3.650000e+00
6.259052e-01,-6.390042e-01,3.700000e+00
6.387695e-01,-6.440883e-01,3.750000e+00
6.515180e-01,-6.489305e-01,3.800000e+00
6.641417e-01,-6.535311e-01,3.850000e+00
6.766338e-01,-6.578920e-01,3.900000e+00
6.889881e-01,-6.620148e-01,3.950000e+00
7.011980e-01,-6.659012e-01,4.000000e+00
7.132575e-01,-6.695528e-01,4.050000e+00
7.251604e-01,-6.729714e-01,4.100000e+00
7.369007e-01,-6.761586e-01,4.150000e+00
7.484726e-01,-6.791161e-01,4.200000e+00
7.598703e-01,-6.818455e-01,4.250000e+00
7.710883e-01,-6.843484e-01,4.300000e+00
7.821210e-01,-6.866265e-01,4.350000e+00
7.929631e-01,-6.886813e-01,4.400000e+00
8.036093e-01,-6.905145e-01,4.450000e+00
8.140544e-01,-6.921277e-01,4.500000e+00
8.242936e-01,-6.935224e-01,4.550000e+00
8.343218e-01,-6.947003e-01,4.600000e+00
8.441344e-01,-6.956628e-01,4.650000e+00
8.537266e-01,-6.964115e-01,4.700000e+00
8.630939e-01,-6.969481e-01,4.750000e+00
8.722320e-01,-6.972739e-01,4.800000e+00
8.811366e-01,-6.973906e-01,4.850000e+00
8.898034e-01,-6.972996e-01,4.900000e+00
8.982285e-01,-6.970024e-01,4.950000e+00
9.064060e-01,-6.965003e-01,5.000000e+00
9.143274e-01,-6.957952e-01,5.050000e+00
9.219927e-01,-6.948915e-01,5.100000e+00
9.294020e-01,-6.937936e-01,5.150000e+00
9.365559e-01,-6.925056e-01,5.200000e+00
9.434544e-01,-6.910319e-01,5.250000e+00
9.500978e-01,-6.893763e-01,5.300000e+00
9.564862e-01,-6.875429e-01,5.350000e+00
9.626198e-01,-6.855355e-01,5.400000e+00
9.684985e-01,-6.833577e-01,5.450000e+00
9.741224e-01,-6.810131e-01,5.500000e+00
9.794913e-01,-6.785052e-01,5.550000e+00
9.846053e-01,-6.758372e-01,5.600000e+00
9.894640e-01,-6.730126e-01,5.650000e+00
9.940674e-01,-6.700342e-01,5.700000e+00
9.984152e-01,-6.669052e-01,5.750000e+00
1.002507e+00,-6.636284e-01,5.800000e+00
1.006342e+00,-6.602065e-01,5.850000e+00
1.009921e+00,-6.566423e-01,5.900000e+00
1.013242e+00,-6.529382e-01,5.950000e+00
1.016306e+00,-6.490966e-01,6.000000e+00
1.019112e+00,-6.451199e-01,6.050000e+00
1.021658e+00,-6.410102e-01,6.100000e+00
1.023945e+00,-6.367695e-01,6.150000e+00
1.025972e+00,-6.323999e-01,6.200000e+00
1.027737e+00,-6.279032e-01,6.250000e+00
1.029241e+00,-6.232810e-01,6.300000e+00
1.030481e+00,-6.185350e-01,6.350000e+00
1.031458e+00,-6.136666e-01,6.400000e+00
1.032173e+00,-6.086813e-01,6.450000e+00
1.032630e+00,-6.035859e-01,6.500000e+00
1.032834e+00,-5.983841e-01,6.550000e+00
1.032787e+00,-5.930793e-01,6.600000e+00
1.032494e+00,-5.876748e-01,6.650000e+00
1.031958e+00,-5.821742e-01,6.700000e+00
1.031182e+00,-5.765805e-01,6.750000e+00
1.030169e+00,-5.708969e-01,6.800000e+00
1.028923e+00,-5.651266e-01,6.850000e+00
1.027446e+00,-5.592726e-01,6.900000e+00
1.025742e+00,-5.533378e-01,6.950000e+00
1.023812e+00,-5.473252e-01,7.000000e+00
1.021661e+00,-5.412375e-01,7.050000e+00
1.019290e+00,-5.350775e-01,7.100000e+00
1.016701e+00,-5.288478e-01,7.150000e+00
1.013898e+00,-5.225510e-01,7.200000e+00
1.010882e+00,-5.161897e-01,7.250000e+00
1.007656e+00,-5.097663e-01,7.300000e+00
1.004222e+00,-5.032831e-01,7.350000e+00
1.000581e+00,-4.967425e-01,7.400000e+00
9.967353e-01,-4.901467e-01,7.450000e+00
9.926867e-01,-4.834979e-01,7.500000e+00
9.884368e-01,-4.767980e-01,7.550000e+00
9.839870e-01,-4.700492e-01,7.600000e+00
9.793388e-01,-4.632533e-01,7.650000e+00
9.744935e-01,-4.564123e-01,7.700000e+00
9.694568e-01,-4.495301e-01,7.750000e+00
9.642347e-01,-4.426102e-01,7.800000e+00
9.588311e-01,-4.356550e-01,7.850000e+00
9.532499e-01,-4.286668e-01,7.900000e+00
9.474948e-01,-4.216478e-01,7.950000e+00
9.415697e-01,-4.146004e-01,8.000000e+00
9.354782e-01,-4.075268e-01,8.050000e+00
9.292239e-01,-4.004291e-01,8.100000e+00
