alpha_l,J1,J2,G1,G2
2.000000e-02,4.058956e-02,1.988889e+00,-1.288074e+01,1.094340e+01
4.000000e-02,7.274591e-02,1.745902e+00,-1.064311e+01,3.958639e+00
6.000000e-02,1.021916e-01,1.601001e+00,-8.693062e+00,1.641115e+00
8.000000e-02,1.300467e-01,1.495537e+00,-7.271279e+00,5.398374e-01
1.000000e-01,1.568363e-01,1.411527e+00,-6.199710e+00,-7.206471e-02
1.200000e-01,1.828700e-01,1.341047e+00,-5.361685e+00,-4.417144e-01
1.400000e-01,2.083551e-01,1.279895e+00,-4.686419e+00,-6.756156e-01
1.600000e-01,2.334426e-01,1.225574e+00,-4.129365e+00,-8.268862e-01
1.800000e-01,2.582501e-01,1.176473e+00,-3.661172e+00,-9.247906e-01
2.000000e-01,2.828734e-01,1.131494e+00,-3.261707e+00,-9.866741e-01
2.200000e-01,3.073943e-01,1.089852e+00,-2.916665e+00,-1.023397e+00
2.400000e-01,3.318853e-01,1.050970e+00,-2.615586e+00,-1.042073e+00
2.600000e-01,3.564125e-01,1.014405e+00,-2.350624e+00,-1.047516e+00
2.800000e-01,3.810386e-01,9.798134e-01,-2.115775e+00,-1.043095e+00
3.000000e-01,4.058236e-01,9.469218e-01,-1.906354e+00,-1.031216e+00
3.200000e-01,4.308276e-01,9.155086e-01,-1.718651e+00,-1.013639e+00
3.400000e-01,4.561106e-01,8.853912e-01,-1.549684e+00,-9.916710e-01
3.600000e-01,4.817350e-01,8.564178e-01,-1.397030e+00,-9.663036e-01
3.800000e-01,5.077657e-01,8.284597e-01,-1.258696e+00,-9.382984e-01
4.000000e-01,5.342715e-01,8.014073e-01,-1.133025e+00,-9.082442e-01
4.200000e-01,5.613267e-01,7.751655e-01,-1.018633e+00,-8.766087e-01
4.400000e-01,5.890119e-01,7.496515e-01,-9.143524e-01,-8.437644e-01
4.600000e-01,6.174155e-01,7.247921e-01,-8.191854e-01,-8.100116e-01
4.800000e-01,6.466357e-01,7.005220e-01,-7.322804e-01,-7.755964e-01
5.000000e-01,6.767823e-01,6.767823e-01,-6.529024e-01,-7.407235e-01
5.200000e-01,7.079792e-01,6.535192e-01,-5.804121e-01,-7.055666e-01
5.400000e-01,7.403673e-01,6.306832e-01,-5.142512e-01,-6.702721e-01
5.600000e-01,7.741081e-01,6.082278e-01,-4.539275e-01,-6.349687e-01
5.800000e-01,8.093883e-01,5.861088e-01,-3.990035e-01,-5.997688e-01
6.000000e-01,8.464255e-01,5.642836e-01,-3.490888e-01,-5.647737e-01
6.200000e-01,8.854751e-01,5.427105e-01,-3.038298e-01,-5.300746e-01
6.400000e-01,9.268403e-01,5.213477e-01,-2.629054e-01,-4.957543e-01
6.600000e-01,9.708843e-01,5.001525e-01,-2.260201e-01,-4.618891e-01
6.800000e-01,1.018047e+00,4.790808e-01,-1.928994e-01,-4.285490e-01
7.000000e-01,1.068866e+00,4.580853e-01,-1.632871e-01,-3.957981e-01
7.200000e-01,1.124010e+00,4.371151e-01,-1.369415e-01,-3.636945e-01
7.400000e-01,1.184323e+00,4.161135e-01,-1.136336e-01,-3.322907e-01
7.600000e-01,1.250884e+00,3.950161e-01,-9.314488e-02,-3.016328e-01
7.800000e-01,1.325107e+00,3.737481e-01,-7.526671e-02,-2.717607e-01
8.000000e-01,1.408882e+00,3.522205e-01,-5.979936e-02,-2.427078e-01
8.200000e-01,1.504809e+00,3.303240e-01,-4.655161e-02,-2.145008e-01
8.400000e-01,1.616588e+00,3.079214e-01,-3.534061e-02,-1.871597e-01
8.600000e-01,1.749691e+00,2.848334e-01,-2.599258e-02,-1.606979e-01
8.800000e-01,1.912653e+00,2.608163e-01,-1.834218e-02,-1.351226e-01
9.000000e-01,2.119695e+00,2.355217e-01,-1.223328e-02,-1.104350e-01
9.200000e-01,2.396788e+00,2.084163e-01,-7.518999e-03,-8.663064e-02
9.400000e-01,2.798098e+00,1.786020e-01,-4.061862e-03,-6.370038e-02
9.600000e-01,3.463726e+00,1.443219e-01,-1.733856e-03,-4.163057e-02
9.800000e-01,4.949619e+00,1.010126e-01,-4.163630e-04,-2.040391e-02
