alpha,J1,J2,theta_1,theta_2,tticks
2.000000e-02,4.740149e-02,2.322673e+00,-2.391615e+01,-8.320434e+00,5.500000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.366113e+01,-8.376385e+00,5.600000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.341599e+01,-8.431884e+00,5.700000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.318083e+01,-8.487056e+00,5.800000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.295574e+01,-8.542033e+00,5.900000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.274082e+01,-8.596954e+00,6.000000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.253619e+01,-8.651969e+00,6.100000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.234198e+01,-8.707237e+00,6.200000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.215835e+01,-8.762929e+00,6.300000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.198548e+01,-8.819229e+00,6.400000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.182359e+01,-8.876334e+00,6.500000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.167293e+01,-8.934461e+00,6.600000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.153380e+01,-8.993843e+00,6.700000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.140655e+01,-9.054738e+00,6.800000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.129160e+01,-9.117429e+00,6.900000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.118942e+01,-9.182229e+00,7.000000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.110057e+01,-9.249485e+00,7.100000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.102571e+01,-9.319587e+00,7.200000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.096560e+01,-9.392972e+00,7.300000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.092112e+01,-9.470136e+00,7.400000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.089332e+01,-9.551642e+00,7.500000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.088343e+01,-9.638134e+00,7.600000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.089288e+01,-9.730358e+00,7.700000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.092338e+01,-9.829175e+00,7.800000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.097696e+01,-9.935598e+00,7.900000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.105604e+01,-1.005082e+01,8.000000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.116352e+01,-1.017626e+01,8.100000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.130295e+01,-1.031362e+01,8.200000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.147865e+01,-1.046498e+01,8.300000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.169599e+01,-1.063290e+01,8.400000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.196169e+01,-1.082056e+01,8.500000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.228426e+01,-1.103198e+01,8.600000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.267475e+01,-1.127236e+01,8.700000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.314767e+01,-1.154853e+01,8.800000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.372257e+01,-1.186966e+01,8.900000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.442654e+01,-1.224845e+01,9.000000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.529828e+01,-1.270306e+01,9.100000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.639546e+01,-1.326055e+01,9.200000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.780850e+01,-1.396338e+01,9.300000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-2.968904e+01,-1.488285e+01,9.400000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.231582e+01,-1.615023e+01,9.500000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-3.627457e+01,-1.804196e+01,9.600000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-4.309320e+01,-2.128112e+01,9.700000e-01
2.000000e-02,4.740149e-02,2.322673e+00,-5.890955e+01,-2.877964e+01,9.800000e-01
2.000000e-02,4.740149e-02,2.322673e+00,0.000000e+00,0.000000e+00,9.900000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-3.195897e+01,-6.351454e-01,0.000000e+00
3.000000e-02,6.417048e-02,2.074845e+00,-3.175277e+01,-9.446267e-01,1.000000e-02
3.000000e-02,6.417048e-02,2.074845e+00,-3.147435e+01,-1.245939e+00,2.000000e-02
3.000000e-02,6.417048e-02,2.074845e+00,-3.113449e+01,-1.537556e+00,3.000000e-02
3.000000e-02,6.417048e-02,2.074845e+00,-3.074356e+01,-1.818369e+00,4.000000e-02
3.000000e-02,6.417048e-02,2.074845e+00,-3.031128e+01,-2.087636e+00,5.000000e-02
3.000000e-02,6.417048e-02,2.074845e+00,-2.984648e+01,-2.344935e+00,6.000000e-02
3.000000e-02,6.417048e-02,2.074845e+00,-2.935707e+01,-2.590105e+00,7.000000e-02
3.000000e-02,6.417048e-02,2.074845e+00,-2.884997e+01,-2.823195e+00,8.000000e-02
3.000000e-02,6.417048e-02,2.074845e+00,-2.833113e+01,-3.044420e+00,9.000000e-02
3.000000e-02,6.417048e-02,2.074845e+00,-2.780563e+01,-3.254114e+00,1.000000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.727771e+01,-3.452702e+00,1.100000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.675090e+01,-3.640662e+00,1.200000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.622805e+01,-3.818513e+00,1.300000e-01
3.000000e-02,6.417048e-02,2.074845e+00,-2.571148e+01,-3.986787e+00,1.400000e-01
