tticks,x1ticks,x2ticks,x3ticks,uticks
0.000000e+00,-1.177949e+00,4.137717e-02,-2.511614e+00,-5.184372e+00
1.000000e-02,2.696469e+00,1.556885e+00,9.278712e-02,-5.147125e+00
2.000000e-02,-3.197441e-02,3.663145e+00,-1.691578e+00,-5.288523e+00
3.000000e-02,-1.733583e+00,1.459819e+00,-1.454025e+00,-5.125648e+00
4.000000e-02,-1.574323e+00,1.585553e+00,3.751651e+00,-5.167952e+00
5.000000e-02,2.210375e+00,-3.657896e-01,2.534122e+00,-5.161568e+00
6.000000e-02,9.986206e-01,-1.473114e+00,-6.546186e-01,-5.085043e+00
7.000000e-02,8.694992e-01,-4.074324e+00,-2.739525e+00,-5.075899e+00
8.000000e-02,-2.811760e+00,8.158401e-01,-2.213545e+00,-5.054679e+00
9.000000e-02,2.809605e+00,-2.751239e+00,4.392180e+00,-4.726610e+00
1.000000e-01,2.617397e-02,-5.509807e+00,-5.535809e-01,-4.893042e+00
1.100000e-01,1.175555e+00,2.550692e+00,2.644661e-01,-4.796879e+00
1.200000e-01,3.121286e+00,-1.438948e-01,-2.561956e-01,-4.765383e+00
1.300000e-01,-2.141774e+00,8.698454e-01,2.039005e+00,-4.925262e+00
1.400000e-01,1.202545e+00,-2.390349e+00,-1.967507e+00,-4.908204e+00
1.500000e-01,-2.488760e+00,-4.276851e-01,-1.919851e+00,-4.988122e+00
1.600000e-01,-3.735112e+00,2.893602e-01,-4.135922e+00,-4.879305e+00
1.700000e-01,3.012271e+00,4.721679e+00,-3.601061e+00,-4.769957e+00
1.800000e-01,4.642135e-01,1.410052e+00,1.601874e-01,-4.709357e+00
1.900000e-01,1.208983e+00,-1.478191e+00,-6.012770e-01,-4.625656e+00
2.000000e-01,-1.807062e+00,-6.066016e-01,1.188528e+00,-4.600248e+00
2.100000e-01,1.047334e+00,-2.337340e+00,-1.514287e+00,-4.691903e+00
2.200000e-01,-1.351792e+00,2.295779e+00,5.130503e-01,-4.562115e+00
2.300000e-01,1.320208e+00,-8.166215e-01,1.119908e+00,-4.311420e+00
2.400000e-01,-1.509472e+00,2.813711e+00,3.585196e+00,-4.471412e+00
2.500000e-01,1.091674e+00,-6.084249e-01,-6.488246e-01,-4.489140e+00
2.600000e-01,6.021361e+00,-2.216265e-01,-8.600145e-01,-4.377830e+00
2.700000e-01,2.052007e+00,-2.282895e+00,-2.934184e-01,-4.273941e+00
2.800000e-01,-6.805227e-01,-1.700881e+00,-3.275857e-01,-4.301793e+00
2.900000e-01,-1.891722e-01,2.322775e+00,-8.464625e-01,-4.260997e+00
3.000000e-01,-2.881662e+00,2.145351e+00,3.446347e+00,-4.207809e+00
3.100000e-01,5.340053e-01,-1.643455e-01,2.106772e+00,-4.009001e+00
3.200000e-01,2.525574e+00,2.447806e+00,-1.586610e+00,-3.999251e+00
3.300000e-01,2.733561e+00,5.431228e-01,1.238813e+00,-4.114520e+00
3.400000e-01,-1.030565e+00,-2.878067e+00,2.111434e+00,-4.069507e+00
3.500000e-01,1.075863e+00,-1.964183e+00,-2.462307e+00,-4.125077e+00
3.600000e-01,9.471724e-01,-1.652207e+00,-2.755565e+00,-3.792191e+00
3.700000e-01,4.213430e-01,-7.854424e-01,-1.229215e+00,-3.872218e+00
3.800000e-01,-1.178156e+00,4.019346e-01,-2.100870e-02,-3.841723e+00
3.900000e-01,-1.217448e+00,3.589332e-01,-2.530646e-01,-3.755466e+00
4.000000e-01,3.119628e-01,-1.397774e+00,-7.215000e-01,-3.860643e+00
4.100000e-01,-5.768268e-01,6.274113e-01,-9.061941e-02,-3.779083e+00
4.200000e-01,-5.961593e-01,-2.200922e+00,-2.504553e+00,-3.624639e+00
4.300000e-01,1.419091e+00,6.256529e-01,-2.347247e+00,-3.632452e+00
4.400000e-01,1.801743e+00,-3.973901e+00,2.290942e-01,-3.764317e+00
4.500000e-01,1.843895e-01,-3.693937e-01,-9.143955e-01,-3.592545e+00
4.600000e-01,9.528939e-01,1.868629e+00,-1.368690e+00,-3.445998e+00
4.700000e-01,2.921406e+00,2.580444e-01,-4.090912e+00,-3.322916e+00
4.800000e-01,-9.271346e-01,2.875199e+00,-5.039681e-02,-3.380119e+00
4.900000e-01,1.077581e+00,-5.896831e-01,3.101120e-01,-3.333070e+00
5.000000e-01,1.350496e+00,3.541819e-01,-3.410722e+00,-3.354942e+00
5.100000e-01,-2.151526e-01,-9.986763e-01,-9.054173e-01,-3.244785e+00
5.200000e-01,-1.963880e-01,-6.239516e-01,-5.349013e-01,-3.170956e+00
5.300000e-01,2.559260e-01,1.389699e+00,1.225656e+00,-3.276348e+00
5.400000e-01,-1.290173e+00,7.509769e-01,-2.028887e+00,-3.039819e+00
5.500000e-01,3.388395e+00,-3.272341e+00,-1.815552e+00,-3.273688e+00
5.600000e-01,3.060053e-01,-2.567522e-01,-2.178930e+00,-3.072092e+00
5.700000e-01,-1.310703e+00,1.002764e+00,-4.202465e+00,-3.052168e+00
5.800000e-01,-3.841645e-01,-1.106388e+00,-3.239621e-01,-2.824868e+00
5.900000e-01,3.354493e+00,-2.204901e+00,2.003468e-01,-2.984345e+00
6.000000e-01,-3.455862e+00,3.821683e-01,-2.139609e+00,-2.590120e+00
6.100000e-01,1.387262e+00,1.400729e+00,-2.451895e+00,-2.905889e+00
6.200000e-01,2.079043e+00,2.007373e+00,-2.921759e+00,-2.913906e+00
6.300000e-01,1.855216e+00,5.126219e+00,-8.551907e-01,-2.570949e+00
6.400000e-01,-2.593543e+00,2.250436e+00,1.802201e+00,-2.771615e+00
6.500000e-01,4.051671e+00,9.274450e-01,-6.370511e+00,-2.760193e+00
6.600000e-01,-3.527882e-01,1.110942e+00,-5.187917e+00,-2.684777e+00
6.700000e-01,8.954544e-01,1.632492e+00,1.758407e+00,-2.765883e+00
6.800000e-01,-1.014477e+00,1.189034e+00,-1.927320e+00,-2.777935e+00
6.900000e-01,1.827601e-01,-6.647914e-01,-5.487714e-01,-2.662171e+00
7.000000e-01,-2.596653e+00,-3.754557e+00,2.064514e+00,-2.557011e+00
7.100000e-01,-4.839989e-01,-5.460404e-02,2.793520e+00,-2.416226e+00
7.200000e-01,-1.405385e+00,-3.210420e+00,-3.373826e-01,-2.376891e+00
7.300000e-01,-2.927362e-01,-4.800167e-01,9.841411e-01,-2.418613e+00
7.400000e-01,9.944162e-01,-1.167815e+00,4.211043e-03,-2.314970e+00
7.500000e-01,4.053977e-01,-4.617540e-01,6.063551e-01,-2.140391e+00
7.600000e-01,2.276542e+00,3.251557e+00,-1.159435e+00,-2.308680e+00
7.700000e-01,5.026115e-01,2.407943e+00,-3.542277e+00,-2.247158e+00
7.800000e-01,-5.450241e+00,4.035389e+00,8.200496e-01,-2.345136e+00
7.900000e-01,-7.587981e-01,-9.763700e-01,9.437257e-01,-2.164728e+00
8.000000e-01,2.621583e+00,-3.878181e+00,-1.211056e+00,-2.370648e+00
8.100000e-01,2.477492e+00,2.615687e+00,-1.555475e+00,-2.262132e+00
8.200000e-01,4.439201e+00,8.953350e-01,-3.410313e+00,-2.287614e+00
8.300000e-01,-1.287091e+00,2.716211e-01,-1.479438e+00,-2.230011e+00
8.400000e-01,3.083251e+00,-2.788658e+00,-1.604442e+00,-1.945877e+00
8.500000e-01,6.268535e-01,5.256307e-02,-1.134957e+00,-2.141029e+00
8.600000e-01,1.752145e+00,-1.954037e+00,3.122859e+00,-2.137371e+00
8.700000e-01,9.314884e-01,-5.152673e-01,4.074970e-01,-1.964469e+00
8.800000e-01,1.172584e+00,-1.687428e+00,-1.176811e+00,-2.075526e+00
8.900000e-01,7.405805e-01,-1.230578e+00,2.990304e-01,-1.986625e+00
9.000000e-01,-6.608247e-01,3.321613e+00,2.923864e-01,-1.938967e+00
9.100000e-01,-4.731564e+00,4.051767e+00,2.126323e+00,-2.058376e+00
9.200000e-01,-2.341473e+00,-1.243694e+00,1.505327e+00,-1.983232e+00
9.300000e-01,-2.987060e+00,-1.224318e+00,1.779171e+00,-1.730455e+00
9.400000e-01,-7.475291e-01,1.347416e+00,3.839413e-02,-1.887998e+00
9.500000e-01,-4.917066e+00,1.565282e+00,4.641705e-01,-1.787984e+00
9.600000e-01,9.890638e-01,-3.437840e+00,1.931764e+00,-1.728938e+00
9.700000e-01,2.294393e+00,-1.758002e+00,-1.073549e-01,-1.778102e+00
9.800000e-01,-2.878503e+00,-2.522151e+00,-3.566567e+00,-1.802688e+00
9.900000e-01,-2.206590e-04,8.509414e-01,7.262340e-02,-1.665138e+00
1.000000e+00,-8.197103e-01,2.578048e+00,-2.259931e+00,-1.901697e+00
1.010000e+00,-7.465151e-01,-9.113285e-01,-4.364807e-01,-1.632462e+00
1.020000e+00,1.930432e+00,1.153909e+00,-1.287683e+00,-1.947811e+00
1.030000e+00,-2.258417e-01,-1.680179e+00,-1.724343e+00,-1.843554e+00
1.040000e+00,-9.562626e-01,-1.065473e+00,2.111486e+00,-1.740193e+00
