alpha_l,J1,J2,G1,G2
2.000000e-02,4.741619e-02,2.323393e+00,-2.846442e+01,-7.347771e+00
4.000000e-02,7.980765e-02,1.915384e+00,-1.388571e+01,-5.073653e+00
6.000000e-02,1.083992e-01,1.698254e+00,-9.011853e+00,-4.050142e+00
8.000000e-02,1.348824e-01,1.551147e+00,-6.570067e+00,-3.430445e+00
1.000000e-01,1.599847e-01,1.439862e+00,-5.102937e+00,-3.000918e+00
1.200000e-01,1.841080e-01,1.350125e+00,-4.123931e+00,-2.678865e+00
1.400000e-01,2.075066e-01,1.274683e+00,-3.424276e+00,-2.424605e+00
1.600000e-01,2.303559e-01,1.209368e+00,-2.899463e+00,-2.216387e+00
1.800000e-01,2.527848e-01,1.151575e+00,-2.491379e+00,-2.041151e+00
2.000000e-01,2.748929e-01,1.099572e+00,-2.165120e+00,-1.890512e+00
2.200000e-01,2.967601e-01,1.052150e+00,-1.898461e+00,-1.758806e+00
2.400000e-01,3.184529e-01,1.008434e+00,-1.676570e+00,-1.642048e+00
2.600000e-01,3.400282e-01,9.677725e-01,-1.489175e+00,-1.537340e+00
2.800000e-01,3.615359e-01,9.296636e-01,-1.328933e+00,-1.442518e+00
3.000000e-01,3.830210e-01,8.937157e-01,-1.190458e+00,-1.355929e+00
3.200000e-01,4.045251e-01,8.596159e-01,-1.069708e+00,-1.276284e+00
3.400000e-01,4.260871e-01,8.271103e-01,-9.635907e-01,-1.202562e+00
3.600000e-01,4.477444e-01,7.959901e-01,-8.697019e-01,-1.133943e+00
3.800000e-01,4.695334e-01,7.660808e-01,-7.861426e-01,-1.069758e+00
4.000000e-01,4.914900e-01,7.372350e-01,-7.113939e-01,-1.009458e+00
4.200000e-01,5.136504e-01,7.093268e-01,-6.442264e-01,-9.525853e-01
4.400000e-01,5.360515e-01,6.822474e-01,-5.836345e-01,-8.987578e-01
4.600000e-01,5.587311e-01,6.559018e-01,-5.287875e-01,-8.476522e-01
4.800000e-01,5.817287e-01,6.302061e-01,-4.789940e-01,-7.989935e-01
5.000000e-01,6.050855e-01,6.050855e-01,-4.336729e-01,-7.525470e-01
5.200000e-01,6.288454e-01,5.804727e-01,-3.923330e-01,-7.081113e-01
5.400000e-01,6.530553e-01,5.563063e-01,-3.545558e-01,-6.655123e-01
5.600000e-01,6.777652e-01,5.325298e-01,-3.199825e-01,-6.245999e-01
5.800000e-01,7.030298e-01,5.090905e-01,-2.883036e-01,-5.852435e-01
6.000000e-01,7.289081e-01,4.859387e-01,-2.592508e-01,-5.473297e-01
6.200000e-01,7.554650e-01,4.630269e-01,-2.325897e-01,-5.107597e-01
6.400000e-01,7.827718e-01,4.403091e-01,-2.081146e-01,-4.754474e-01
6.600000e-01,8.109075e-01,4.177402e-01,-1.856441e-01,-4.413175e-01
6.800000e-01,8.399597e-01,3.952752e-01,-1.650170e-01,-4.083042e-01
7.000000e-01,8.700267e-01,3.728686e-01,-1.460896e-01,-3.763499e-01
7.200000e-01,9.012187e-01,3.504739e-01,-1.287329e-01,-3.454042e-01
7.400000e-01,9.336601e-01,3.280427e-01,-1.128303e-01,-3.154227e-01
7.600000e-01,9.674923e-01,3.055239e-01,-9.827606e-02,-2.863662e-01
7.800000e-01,1.002877e+00,2.828628e-01,-8.497377e-02,-2.582003e-01
8.000000e-01,1.040000e+00,2.600000e-01,-7.283488e-02,-2.308941e-01
8.200000e-01,1.079076e+00,2.368702e-01,-6.177780e-02,-2.044201e-01
8.400000e-01,1.120354e+00,2.134008e-01,-5.172697e-02,-1.787531e-01
8.600000e-01,1.164130e+00,1.895095e-01,-4.261216e-02,-1.538705e-01
8.800000e-01,1.210750e+00,1.651023e-01,-3.436783e-02,-1.297509e-01
9.000000e-01,1.260630e+00,1.400700e-01,-2.693269e-02,-1.063746e-01
9.200000e-01,1.314271e+00,1.142844e-01,-2.024925e-02,-8.372257e-02
9.400000e-01,1.372284e+00,8.759262e-02,-1.426352e-02,-6.177669e-02
9.600000e-01,1.435426e+00,5.980940e-02,-8.924748e-03,-4.051922e-02
9.800000e-01,1.504642e+00,3.070698e-02,-4.185216e-03,-1.993274e-02
