x,u,t
0.000000e+00,0.000000e+00,0.000000e+00
4.701322e-11,-2.794631e-09,1.000000e-03
3.760850e-10,-1.136171e-08,2.000000e-03
1.269217e-09,-2.597597e-08,3.000000e-03
3.008348e-09,-4.691207e-08,4.000000e-03
5.875355e-09,-7.444460e-08,5.000000e-03
1.015205e-08,-1.088481e-07,6.000000e-03
1.612018e-08,-1.503970e-07,7.000000e-03
2.406144e-08,-1.993658e-07,8.000000e-03
3.425745e-08,-2.560287e-07,9.000000e-03
4.698976e-08,-3.206599e-07,1.000000e-02
4.698976e-08,-4.574319e-07,1.000000e-02
6.253980e-08,-5.590087e-07,1.100000e-02
8.118889e-08,-6.718310e-07,1.200000e-02
1.032184e-07,-7.961721e-07,1.300000e-02
1.289095e-07,-9.323049e-07,1.400000e-02
1.585435e-07,-1.080503e-06,1.500000e-02
1.924015e-07,-1.241038e-06,1.600000e-02
2.307645e-07,-1.414184e-06,1.700000e-02
2.739136e-07,-1.600214e-06,1.800000e-02
3.221296e-07,-1.799400e-06,1.900000e-02
3.756934e-07,-2.012015e-06,2.000000e-02
3.756934e-07,-2.556827e-06,2.000000e-02
4.348855e-07,-2.838903e-06,2.100000e-02
4.999862e-07,-3.137664e-06,2.200000e-02
5.712763e-07,-3.453379e-06,2.300000e-02
6.490361e-07,-3.786321e-06,2.400000e-02
7.335461e-07,-4.136760e-06,2.500000e-02
8.250867e-07,-4.504968e-06,2.600000e-02
9.239381e-07,-4.891215e-06,2.700000e-02
1.030381e-06,-5.295774e-06,2.800000e-02
1.144694e-06,-5.718914e-06,2.900000e-02
1.267159e-06,-6.160906e-06,3.000000e-02
1.267159e-06,-7.381065e-06,3.000000e-02
1.398055e-06,-7.924673e-06,3.100000e-02
1.537660e-06,-8.490361e-06,3.200000e-02
1.686255e-06,-9.078400e-06,3.300000e-02
1.844119e-06,-9.689059e-06,3.400000e-02
2.011532e-06,-1.032261e-05,3.500000e-02
2.188773e-06,-1.097931e-05,3.600000e-02
2.376122e-06,-1.165945e-05,3.700000e-02
2.573858e-06,-1.236327e-05,3.800000e-02
2.782261e-06,-1.309107e-05,3.900000e-02
3.001609e-06,-1.384310e-05,4.000000e-02
3.001609e-06,-1.600130e-05,4.000000e-02
3.232181e-06,-1.688668e-05,4.100000e-02
3.474254e-06,-1.779949e-05,4.200000e-02
3.728107e-06,-1.874000e-05,4.300000e-02
3.994019e-06,-1.970848e-05,4.400000e-02
4.272269e-06,-2.070519e-05,4.500000e-02
4.563135e-06,-2.173041e-05,4.600000e-02
4.866896e-06,-2.278439e-05,4.700000e-02
5.183830e-06,-2.386740e-05,4.800000e-02
5.514215e-06,-2.497972e-05,4.900000e-02
5.858330e-06,-2.612160e-05,5.000000e-02
5.858330e-06,-2.947541e-05,5.000000e-02
6.216452e-06,-3.078192e-05,5.100000e-02
6.588855e-06,-3.212116e-05,5.200000e-02
6.975819e-06,-3.349339e-05,5.300000e-02
7.377620e-06,-3.489889e-05,5.400000e-02
7.794538e-06,-3.633792e-05,5.500000e-02
8.226848e-06,-3.781074e-05,5.600000e-02
8.674829e-06,-3.931761e-05,5.700000e-02
9.138758e-06,-4.085881e-05,5.800000e-02
