alpha,J1,J2
2.000000e-02,4.640393e-02,2.273793e+00
3.000000e-02,6.237987e-02,2.016949e+00
4.000000e-02,7.691330e-02,1.845919e+00
5.000000e-02,9.042091e-02,1.717997e+00
1.000000e-01,1.469369e-01,1.322432e+00
1.500000e-01,1.916916e-01,1.086252e+00
2.000000e-01,2.288896e-01,9.155582e-01
2.500000e-01,2.606330e-01,7.818989e-01
3.000000e-01,2.882019e-01,6.724711e-01
3.500000e-01,3.124574e-01,5.802780e-01
4.000000e-01,3.340152e-01,5.010228e-01
4.500000e-01,3.533343e-01,4.318531e-01
5.000000e-01,3.707678e-01,3.707678e-01
5.500000e-01,3.865934e-01,3.163037e-01
6.000000e-01,4.010340e-01,2.673560e-01
6.500000e-01,4.142711e-01,2.230691e-01
7.000000e-01,4.264545e-01,1.827662e-01
7.500000e-01,4.377092e-01,1.459031e-01
8.000000e-01,4.481405e-01,1.120351e-01
8.500000e-01,4.578379e-01,8.079492e-02
9.000000e-01,4.668780e-01,5.187533e-02
9.500000e-01,4.753269e-01,2.501721e-02
9.600000e-01,4.769509e-01,1.987296e-02
9.700000e-01,4.785540e-01,1.480064e-02
9.800000e-01,4.801366e-01,9.798707e-03
